"","...analysis.STAR_assembly_Gencode.TeissandierMulti.AD_5601Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_5601Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_5602Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.G_5601Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_5601Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_5602Aligned.sortedByCoord.out.bam"
"WASH7P",-0.23280135907001,-0.143875582522187,0.0523298245853736,0.510209976075989,-0.200894028649903,0.0150311695807366
"MIR6859-1",0.0361688689555679,-0.723620919342208,-0.159580193220065,0.856714321837378,0.120906451520805,-0.130588529751479
"ENSG00000238009",-0.404497738534674,-1.18004318369714,0.136177132965287,0.679652413928432,0.561646186757004,0.207065188581088
"ENSG00000268903",-0.406844284629563,-0.331734297420709,-0.0089312978617575,0.428871399498847,0.32631246970778,-0.00767398929459562
"ENSG00000269981",-0.290398512182192,-0.328441629206804,-0.134433294601387,0.933277412359009,0.106488755491183,-0.286492731859808
"ENSG00000239906",-0.630283596114035,-0.612875996425169,-0.212955526104274,0.534396212209304,0.733596502250367,0.188122404183806
"ENSG00000241860",-0.667017278513454,-0.252240078305058,0.0673100101278514,0.208745193671374,0.469129753477503,0.174072399541783
"WASH9P",-0.152724221389203,-0.0689777821814963,-0.114511936952686,0.603963491459212,-0.397001331371836,0.129251780436009
"ENSG00000228463",1.67379254358986,-0.655347518179549,-0.90702873559924,-0.0568170005762955,0.12852936576355,-0.183128654998326
"ENSG00000237094",-0.282930199770727,0.0924980767966614,-0.00556619085719667,0.070080915737095,0.210947198872073,-0.0850298007779013
"ENSG00000250575",-0.118952667279179,-0.0673148447847742,0.0312319886194228,0.481630687818669,-0.206567450592609,-0.120027713781529
"ENSG00000230021",-0.212544790679825,0.191696919839792,-0.221844016936493,0.0985875502587725,0.0973030189272901,0.0468013185904641
"MTND1P23",0.548445735578069,1.19927136838755,-0.158127040453041,-1.76218774824319,0.243929320346143,-0.0713316356155267
"MTND2P28",0.404903628532255,0.276142314594068,-0.0828564696169742,-0.0382771282878025,-0.0781541487002606,-0.481758196521287
"MTCO1P12",0.239633427321325,0.283532667946776,-0.131135880662182,-0.215737587333903,-0.0387635268169557,-0.137529100455058
"MTATP6P1",0.574546942380803,0.336716075937709,-0.26232694917206,-0.26500663485074,-0.0175270666608789,-0.366402367634832
"ENSG00000228327",-0.0262074647963582,0.0599404336357008,-0.0221354679010375,0.0630701278925763,0.0239931206564501,-0.0986607494873271
"LINC01409",-0.16048241173168,-0.218660587820187,-0.206793524541691,0.246682174872213,0.101728677773692,0.237525671447654
"ENSG00000230092",-0.12698123526859,0.292902829326251,-0.172201052865446,0.0783857130289685,0.134138835343365,-0.206245089564549
"LINC01128",-0.534212671715045,-0.141361286591494,0.35635168344028,-0.0398673665576377,-0.0610830821031048,0.420172723527002
